comment_id,author,date,text,expected_label,model_pred,vectors
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,2013-11-28T17:06:17,hey subscribe to me,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,2013-11-28T17:34:55, once you have started reading do not stop  if you do not subscribe to me  within one day you and you re entire family will die so if you want to stay  alive subscribe right now ,1,1,"-1,-1,-1,-1,-1,-1,1,1,1"
z13pejoiuozwxtdu323dspopnri4xts0f,Archie Lewis,2013-11-28T17:54:39,https   twitter com gbphotographygb,1,1,"-1,-1,-1,-1,-1,1,-1,1,-1"
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,2013-11-28T18:12:12,subscribe like comment,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,2013-11-28T19:52:35,please like  d https   premium easypromosapp com voteme                ,1,1,"-1,-1,-1,-1,-1,1,-1,1,-1"
z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,Gaming and Stuff PRO,2013-11-28T21:14:13,hello  do you like gaming  art videos  scientific experiments  tutorials   lyrics videos  and much  much more of that  if you do please check out our  channel and subscribe to it  we ve just started  but soon we hope we will  be able to cover all of our expectations    you can also check out what  we ve got so far ,1,1,"-1,1,-1,-1,-1,-1,1,1,1"
z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,2013-11-28T21:49:00,i m only checking the views,0,0,"-1,-1,-1,-1,1,-1,0,0,-1"
z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,OutrightIgnite,2013-11-28T21:55:02,http   www ebay com itm              sspagename strk meselx it amp  trksid p     m     l     ,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,Tony K Frazier,2013-11-28T23:57:13,http   ubuntuone com   beuutvu zkxk utgpz k,1,1,"-1,-1,-1,-1,-1,1,-1,1,-1"
z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,Jose Renteria,2013-11-29T00:22:01,we are an edm apparel company dedicated to bringing you music inspired  designs  our clothing is perfect for any rave or music festival  we have  neon crop tops  tank tops  t shirts  v necks and accessories  follow us on  facebook or on instagraml for free giveaways news and more   visit our site  at oncueapparel,1,0,"-1,-1,-1,-1,-1,-1,0,1,0"
z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,2013-11-29T02:13:56,i think about     millions of the views come from people who only wanted to  check the views,0,1,"-1,1,-1,-1,-1,-1,0,0,0"
z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,Carlos Thegamer,2013-12-01T01:20:21,subscribe to my channel people  d,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z12ohdxjtsatvppjb04cctprprb1slnxdf4,OutrightIgnite,2013-12-01T03:30:55,show your auburn pride here  http   www teespring com tigermeathoodie,1,1,"-1,-1,-1,-1,-1,1,-1,-1,1"
z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,Owen Lai,2013-12-01T04:51:52,just checking the views,0,0,"-1,-1,-1,-1,1,-1,-1,0,-1"
LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,2013-12-23T12:54:38,check out my channel,1,1,"-1,1,-1,-1,-1,-1,-1,1,-1"
LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,Living4Techno,2013-12-25T19:46:26,marketglory   com strategygame andrijamatf earn real money from game,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,8-BitMusic,2013-12-27T23:07:50,hey guys  im a    yr old music producer  i make chiptunes and  bit music   it would be wonderful if you checked out some of my  bit remixes  i even  have a gangnamstyle  bit remix if you would like to check that out     thanks  ,1,1,"-1,1,-1,-1,-1,-1,-1,1,1"
z13kszcinpnvc34v2234fnpxkpmlw3nhc04,Kyle Jaber,2014-01-19T00:21:29,check me out  i m kyle  i rap so yeah ,1,1,"-1,1,-1,-1,-1,-1,-1,0,0"
z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,2014-01-19T00:36:25,i dont even watch it anymore i just come here to check on   billion or not,0,1,"-1,1,-1,-1,-1,-1,-1,1,0"
z13zvh1rmk3cf3mby04civbq5mjtddmbysk0k,Fun&amp;Hacks,2014-01-19T00:42:35,subscribe to me for free android games  apps   ,1,1,"-1,-1,-1,-1,-1,-1,1,1,-1"
z120y3ribybzdf3fj23sf1rpgq3cex0sh,Young Hittaz,2014-01-19T04:21:11,everyone please come check our newest song in memories of martin luther  king jr ,1,1,"0,1,-1,-1,-1,-1,-1,-1,1"
z13autsqgzblcx3w104chr4r2kexd10rxc0,DropShotSk8r,2014-01-19T04:27:18,came here to check the views  goodbye ,0,1,"-1,1,-1,-1,-1,-1,-1,0,-1"
z121e3zq5kj3ip2ch22ks3vwekuaibrgc04,Joengz,2014-01-19T10:31:10,check out my dubstep song  fireball   made with fruity loops  i really took  time in it    watch v teloa rio o,1,1,"0,1,-1,-1,-1,-1,-1,0,0"
z13kxpqqssa0hlryd04cc1dxeyyngljjngk,Tasha Lucius,2014-01-19T13:25:56,  billion    coming soon,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k,Jason Provencal,2014-01-19T16:15:54,why dafuq is a korean song so big in the usa  does that mean we support  koreans  last time i checked they wanted to bomb us  ,0,0,"0,-1,-1,-1,-1,-1,-1,0,0"
z12txle43yfhvt0f323eghbxivmuytieq,Kiddy Kidso,2014-01-19T16:49:52,check my channel please  and listen to the best music ever  p,1,1,"-1,1,-1,-1,-1,-1,-1,-1,1"
z13zj1grjzqhhxzlj23gdpzaovunwnn0f,HamzaMurt | Advanced Warefare | Lets Play!,2014-01-19T17:20:58,sub   sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes    seconds please if you subscribe ill  subscribe back thanks,1,0,"-1,-1,-1,-1,-1,-1,1,0,0"
z13csdop4venytrru04cf11q1wmbdvkrfpo0k,ii Trollercopter,2014-01-19T17:25:23, hey everyone   i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf   and give me  some advice on how my video was and how i could improve it  also be sure to  go check out the about to see what im all about  thanks for your time       and to haters    you hate  i win,1,1,"-1,1,-1,-1,-1,-1,1,1,1"
z13ce52jzwfitrkup23din4ojputijen3,Eugene Kalinin,2014-01-19T19:21:04,the projects after effects  music  foto  web sites and another you can find  and buy here  http   audiojungle net user eugenekalinin portfolio ref eugenekalinin,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z13phfyxhovav1hl122bf5iidumufzbel,Cody Tolleson,2014-01-20T02:50:44,youtube codytolleson for awesome videos i ll subscribe back ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13xytyybsypw34yv04cc33xkke1grugh2w,cake cat,2014-01-20T04:45:34,if you like roblox minecraft world of warcraft gta  mario suscribe to my  channel,1,1,"-1,-1,-1,-1,-1,-1,-1,1,1"
z13vsbcjwrybe3hsf23sgvnxfr3zxnion04,World327RS,2014-01-20T06:16:28,subscribe to me and i ll subscribe to you   must like   czfcxsn jnq  ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,1"
z12jvnua2tifirkvk23cfjtpxwmgxfch004,Didier Drogba,2014-01-20T06:57:25,http   www twitch tv jaroadc come follow and watch my stream ,1,1,"-1,-1,-1,-1,-1,1,-1,-1,1"
z13stv3brxe1snv2i225fnvganneudej004,MFkin PRXPHETZ,2014-01-20T09:08:39,if you like raw talent  raw lyrics  straight real hip hop everyone check my newest sound  dizzy x   got the juice  prod by  drugs the model citizen    comment tell me what you think  dont be lazy            prophetz,1,1,"-1,1,-1,-1,-1,-1,1,-1,1"
z12ktfsarrv0wdj3p22ifbxz3zn2fthhw04,Dave X,2014-01-20T10:12:07,    subscribe              to my               channel       ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z121znjjloycwtjf2233dfo5esfggn3lj,crestpee,2014-01-20T13:03:12,now its               views  pls  comment the view count the next hour  p,0,1,"-1,-1,-1,-1,-1,-1,-1,1,1"
z125zbmwryjwxzx4504cfjzwbtztuvkif3c,Leonardo Baptista,2014-01-20T15:10:27,http   www avaaz org po petition youtube corporation fox broadcasting company anular os strikes no canal nostalgia  cxpzpgb ,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z12stpyqaonsercxw04cjbr4dlnrxd34soo0k,Phuc Ly,2014-01-20T15:27:47,go here to check the views   ,0,1,"-1,1,-1,-1,-1,-1,-1,0,-1"
z13nvr2xayrwffsio04cj3zwyuf3vb1imdg,Milan George,2014-01-20T16:15:09,thumbs up if u checked this video to see hw views it got,0,0,"-1,-1,-1,-1,-1,-1,-1,0,0"
z13uzhdomzvbffvwa04cgplq2zewfz2hm2k,Kirsty Brown,2014-01-20T16:41:27,plz subscribe to my channel and i will subscribe back xx,1,1,"-1,-1,-1,-1,-1,-1,-1,1,0"
z13ucxa51rnftvu2j22if5oihq2qipjlp,Kochos,2014-01-20T17:08:37,i check back often to help reach  x     views and i avoid watching baby,0,1,"-1,1,-1,-1,-1,-1,-1,0,0"
z120grixiomvyvbga04cfl24csz5jf4zzuc0k,eSkiip,2014-01-20T17:22:53,this video will get to   billion just because of people checking if it has  hit   billion yet ,0,0,"-1,-1,-1,-1,1,-1,-1,0,0"
z13gevgohyzktbztz22mcrcpntfxvpvan04,Wumrogue lite,2014-01-20T17:29:52,https   www facebook com pages brew crew                      like this  facebook page  chance to win an iphone  s ,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z12gy5tb2kase1nix04cipry3mf1wh5grko0k,Ruddy Tapia,2014-01-20T17:58:46,get gwar to play      superbowl  http   www change org petitions the national football league allow gwar to perform the      super bowl halftime show share ,1,0,"-1,-1,-1,-1,-1,1,0,0,1"
z13hxl3yoqmlvdlnu23atlqgsoyevlsse,Artsi,2014-01-20T18:52:12,pls follow this channel   http   www twitch tv sevadus,1,0,"-1,-1,-1,-1,-1,1,-1,0,-1"
z12gv5qoconqsbe0h221wljgmwe4v1nmu,ProsGamerOnly,2014-01-20T20:00:55,hi guys check my youtube channel,1,1,"-1,1,-1,-1,-1,-1,-1,-1,-1"
z13eepr4dyjet34pt04cgr1rctvwsvqwqso0k,JP Jochem,2014-01-20T20:23:35,subscribe and like to me for more how to videos on minecraft ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,1"
z121st5w5k3ui1veg22zirn4gkr5tby2v,Jdidk Loma,2014-01-20T20:35:56,http   tankionline com friend cd  db f  great game check it out ,1,1,"-1,1,-1,-1,-1,1,1,1,1"
z13osnp4hnzry1o15224yfzbotr0epxqk04,BaconBro HD,2014-01-20T21:11:52,subscribe me ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z12rgllzmwnfuba4h04ch3njgy2fg3ryerg0k,Eanna Cusack,2014-01-20T22:20:59,im just to check how much views it has,0,1,"-1,1,-1,-1,-1,-1,-1,0,-1"
z12rc1ebfvrmufz5w04ccl2pmt3ih5dymq40k,fastestghost,2014-01-21T02:09:22,the first comment is chuck norrus ovbiously  d,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z13mcpkzpoz1hj3o304cfd3oouf2tj1rnk40k,StuntmanGaming,2014-01-21T02:29:43,behold the most viewed youtube video in the history of ever,0,0,"-1,-1,-1,-1,-1,-1,-1,0,1"
z121cnnzhsybzjkt122nsviacsekvvt1r,Master Chief,2014-01-21T03:16:46,when is this gonna hit   billion ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z125gx4g5wemgtyvr23ryvlrbxjvwl2mi,David Bell,2014-01-21T03:18:31,the most viewed youtube video of all time ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z12lzbu4iymmvjgj004cdjaonunljbjwwo00k,virgie natividad,2014-01-21T07:33:30,        dislikes like dislike themselves,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z13kvvkixzvadn5ii04chnnbsvn3w1pq5dk,asd ad,2014-01-21T08:22:06,psy korean,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z13zz3cjwmztcni0p23ug3vb0pasfvzqc04,Dymetex,2014-01-21T09:03:36,omg this oldspice spraytan party commercial omg    i m sitting here  no  this isn t a real thing is it  omg  ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,0"
z12ifxrbkmaechwtt22jwryqmoaefhipf04,MrTuizentfloot,2014-01-21T13:39:13,this is the only video on youtube that get so much views just because we  want to see how much views it has            every day  i mean  most people  think a video is popular when it actually gets           views ,0,0,"-1,-1,-1,-1,-1,-1,0,1,0"
LZQPQhLyRh_hbykd_Xw4oDROJbJTFrs-UbSB2xk8gRk,OREOGAM3R,2014-01-25T19:36:25,it s been back for quite a while now ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
LZQPQhLyRh9U7Lv_DKpJ7lawpBCotxfgHzBy93Tk028,LEONARDO CAETANO,2014-01-27T19:36:00,  billions in     ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z12eexphzo2uslizg04cirmywyzjdnm5gqc0k,fab life,2014-11-02T00:48:57,plz check out fablife   welcome to fablife for diys and challenges so plz  subscribe thx ,1,1,"-1,1,-1,-1,-1,-1,1,1,1"
z12lubwrvv35zpzub23ywxbbiuawjbalc,Ariel Baptista,2014-11-02T05:06:46,http   www ebay com itm              sspagename strk meselx it amp  trksid p     m     l     ,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z13osfxhtkfmwpxue234z3wimzmcs1k2x,Stefano Albanese,2014-11-02T12:04:36,http   www guardalo org best of funny cats gatti pazzi e divertenti                            ,1,0,"-1,-1,-1,-1,-1,1,0,0,1"
z12tcdxa5k3bsvtqh04ccnaqusj1vvfju3s,Salim Tayara,2014-11-02T14:33:30,if your like drones  plz subscribe to kamal tayara  he takes videos with  his drone that are absolutely beautiful ,1,1,"-1,-1,-1,-1,-1,-1,1,1,1"
z13gsp34uumcdje4q04civk54zr4wr0gxjc,Lucky D.,2014-11-02T14:53:06,http   hackfbaccountlive com  ref        ,1,1,"-1,-1,-1,-1,-1,1,-1,1,-1"
z123e1gg3zyuf30ox04cdtbzgmaby3ehjc0,Lucas Trigo,2014-11-02T15:52:22,whats up everyone       i trying to showcase my talent to the world  i have over      subscribers  i promise  i dont suck  please spread my covers around  subscribe  amp  share  thanks so much for all your support  lucas trigo  stay awesome  ,1,1,"-1,-1,-1,-1,-1,-1,-1,-1,1"
z13ezz5zsz3pyhyip04cibtpwwbdejzrmlk0k,TheHariiiii,2014-11-02T16:17:11,      gt  gt  gt  gt   https   www facebook com video php v                   amp set vb                 amp type   amp permpage     lt         ,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z12ywjvgdtrhxdlz504cd1tquqvuhbs4abw,Angel,2014-11-02T17:27:09,hi there i m group leader of angel  a rookie korean pop group  we have four  members  chanicka  julie  stephanie  and myself  leah  please feel free to  check out our channel and leave some feedback on our cover videos     criticism is welcome as we know we re not top notch singers so please come  leave some constructive feedback on our videos  we appreciate any chance to  improve before auditioning for a korean management company  we plan on  auditioning for jyp  bighit  jellyfish  yg or sm  thank you for taking time  out of your day to read this  ,1,1,"-1,1,-1,-1,-1,-1,1,1,1"
z122f1fy5muwdxdxd04cexyxes3hh5hrifc,Squir3,2014-11-02T18:34:03,http   woobox com   gxrf brt u  free cs go    ,1,1,"-1,-1,-1,-1,-1,1,1,1,-1"
z12jud4o3n34v5wph04ce3db0y2njn55gog0k,Kaya Roberts,2014-11-02T20:00:37,admit it you just came here to check the number of viewers ,0,1,"-1,1,-1,-1,-1,-1,-1,0,1"
z12xxjkwevvjzvvms22xz3sjqovty3qip04,Prim N.,2014-11-02T22:48:21,just coming to check if people are still viewing this video  and  apparently  they still do ,0,1,"-1,1,-1,-1,-1,-1,-1,1,1"
z13ydfww3ruysvtmv23muhspwqqjszwjc04,James Ridge,2014-11-02T23:25:44,check my first video out,1,1,"-1,1,-1,-1,-1,-1,-1,-1,-1"
z13vs53zipmszf1ib04cerd5xlmzdz5qlzw0k,Minecraft-Viasat,2014-11-03T14:38:53,check my channel,1,1,"-1,1,-1,-1,-1,-1,-1,-1,-1"
z13wzt5yezvhsboz104cjlkqalz0fpcglmk0k,Alessio Siri,2014-11-03T16:43:36,psy   gangnam style    m v  http   youtu be  bzkp q  f ,0,0,"-1,-1,-1,-1,-1,1,-1,0,0"
z135fnx4ntvdx1rzn04cih1ihmqtsrbzcno0k,Backup Plus,2014-11-03T17:39:07,suscribe my channel please xd lol,1,0,"-1,-1,-1,-1,-1,-1,0,-1,-1"
z13dztbi0nnvdruas04cjrmjwrnvvd4jxjw,Almighty Toffeebomb,2014-11-03T19:09:40,wow  comments section on this still active  not bad  also         comments    now    ,0,0,"-1,-1,-1,-1,-1,-1,0,0,0"
z13hgfzhnrj3sx0m222sfbo4drq1e5xyp04,Meth Lover,2014-11-03T20:32:26,http   binbox io  firo    ,1,0,"-1,-1,-1,-1,-1,1,-1,0,-1"
z12pzpvbfl2igbwhe04cihtpuwymvr5gvsg0k,NstyIC Gold,2014-11-03T20:41:23,ching ching ling long ding ring yaaaaaa ganga sty fuck you ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,0"
z12wvpdwfzzkfrerq04civhigpqrcxmxjzc0k,Никита Безухов,2014-11-03T21:38:17,https   www indiegogo com projects cleaning the pan       please halp me  with my project,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z13tdv5jmlfpzj1rf04cd3ng4ljqjngxflg0k,Михаил Панкратов,2014-11-03T22:22:14,there is one video on my channel about my brother   ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,1"
z12ufn5puwnve3b2k22ntjqogym0fllgb04,Angek95,2014-11-03T22:28:56,check my channel  please ,1,1,"-1,1,-1,-1,-1,-1,-1,-1,-1"
z13xslra3myri3jsn22hs1wxbyuvxplr004,Arianna Leighton,2014-11-03T23:02:47,does anyone here use gift cards like amazon  itunes  psn  google play   itunes  or any other gift cards  then you ll be happy to know you can get  free gift card codes for free from an amazing site  here is a     itunes  gift card code xxbb tczhm  hvzd,1,1,"-1,-1,-1,-1,-1,-1,1,0,1"
z132v5iajkjuhfkyn04cg3mxclnnzj0yxmo0k,richardex8,2014-11-03T23:03:03,why does this video have so many views  because asian things are awesome and non asian countries are jelly so they  try to learn from asia by looking at this video d ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,1"
z12mtx5hxnutsxzfn23tsljjrm2mwxtwm04,Олег Пась,2014-11-03T23:29:00,plizz withing my channel ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z121ft552pzpzhiab04cffmwitfii3lr5v40k,Crooked Gaming,2014-11-04T00:00:57,i made a gaming channel  unique right    l angry minecraft ,1,0,"-1,-1,-1,-1,-1,-1,0,1,0"
z135jnejqyylxvxc323tifugxr3idl1oq04,Monwar Sarkar,2014-11-04T00:18:07,please help me go here http   www gofundme com littlebrother,1,1,"-1,-1,-1,-1,-1,1,-1,1,1"
z13zfpqpvpyvwfymk232ux4odsr1s5wm0,Jack ToadROXMK,2014-11-04T02:00:14,anybody who subscribes to me will get    subscribers,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13sx1mitrmpcls3f22hi5ep1yq5cvmld,roflcopter2110,2014-11-04T02:22:06,http   thepiratebay se torrent         timothy sykes collection,1,0,"-1,-1,-1,-1,-1,1,-1,0,-1"
z13juvrhisuzsfczo04cgnsxhlfdiz2rhho,Imprezzi Vidzz,2014-11-04T03:12:23,my videos are half way decent  check them out if you want ,1,1,"-1,1,-1,-1,-1,-1,-1,1,1"
z130gviqarmshdnau04cdzigvs3jepx4qw00k,khir abqari,2014-11-04T07:37:28,they said this video are not deserve  billion views   while they keep  visiting it to watch the viewer   ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,0"
z12zdj5ptyzpurkan04chtsqjszjxfmrk2w,Gloria Garcia,2014-11-04T11:38:51,subscribe to itz recaps and above diddle,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z12li5throi5u540y220chro4nn5gl52k,xSparkShark,2014-11-04T12:40:15,screw this chinese crap i dont even understand what he is saying  why isn t  he speaking english like everyone should ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,0"
z13dsnfaozyyil4m322jijgx5m3aehem2,Emerson Zanol Zanol,2014-11-04T13:48:04,need money enjoy https   www tsu co emerson zanol,1,1,"-1,-1,-1,-1,-1,1,-1,1,-1"
z13tczojhrqbjhv2c23kfby5wpysgpopa04,Lars Zaadstra,2014-11-04T13:54:25,sub to my channel visuelgamingznl i sub back,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13qgx0yzwf1uj1xm04ccbkhjnrsgz0i41g,firo mota,2014-11-04T14:38:42,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back  d hoppa hoppa gangam style,1,1,"-1,-1,-1,-1,-1,-1,-1,1,0"
z13qgviizlv1d1c1422lylyahqz2h1zm5,Connor Groom,2014-11-04T18:00:07,sub me if you dont like the song,1,1,"0,-1,-1,-1,-1,-1,-1,1,-1"
z13sgnbzkwjqhhd5004cfzaheobvzbuopyg0k,Kaiser Dragon,2014-11-04T18:09:18,this is a weird video ,0,0,"-1,-1,-1,-1,-1,-1,0,0,-1"
z13etzhwwvzye1oav04cehnitxf5cx2xkts0k,Monster Sifou,2014-11-04T18:30:39,  million likes xd even the subscribers not   million xd,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z123jlf4lzjbgpbcr23yhxyqbpe3gxpvm,TIGERIO_,2014-11-04T19:46:38,ehi guys can you subscribe in my channel  i am a new youtuber and i play  minecraft thanks guys     subscribe ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,1"
z13kfzqicymszt0jp04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,2014-11-04T20:22:21,hi everyone  do you like music  then why not check out my music channel   the lexis band will be uploading their own songs and covers soon so don t  miss out  please subscribe too as it does help us out a lot  just takes one  click    gt ,1,1,"0,1,-1,-1,-1,-1,1,1,1"
z12ftpab5svihfffz23kf3iiymiwjzesi,trespasser4000,2014-11-04T22:07:22,this song never gets old love it ,0,0,"0,-1,0,-1,-1,-1,-1,0,-1"
z13oyfkydl30exyip04cejozdtahgvx44ao,Pat M,2014-11-05T00:21:29,gofundme com grwmps,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13cyzbbqsrxyfaec23xc10rdrrqgd0ch,Malin Linford,2014-11-05T01:13:43,hey guys please check out my new google  page it has many funny pictures   funnytortspics  https   plus google com                       post,1,1,"-1,1,-1,-1,-1,1,1,1,1"
z13jsrtahyyqv53jc04cdr4bcwfwg3lauek,kenny clayton,2014-11-05T06:34:19,     bitches,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z135f3rwwnjafnnrv04cirmifl3lipewgl40k,Akymonix,2014-11-05T07:01:34,made in china    ,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z13lip25arigch3rj04cf1ko0pnczzyrtng0k,Gaming Land,2014-11-05T07:48:10,  milions comentars and   bilion views,0,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13mzp44ul21sdqcj22sgriokxyuy5det,tom hawksbee,2014-11-05T07:49:21,it is   zero,0,0,"-1,-1,-1,-1,-1,-1,-1,0,-1"
z12rsjsiimjkjfkwt04ccbgosvrbgxupxu00k,Norman Reid,2014-11-05T08:12:06,mix   psy   gangnam style    m v  psy   gangnam style    m v,0,0,"-1,-1,-1,-1,-1,-1,-1,0,0"
z13wfr2rbwytwbhf123cs1l5lz2aefdex,Emily Hamilton,2014-11-05T08:42:06,this has had over   billion views   holy shit ,0,0,"-1,-1,-1,-1,-1,-1,0,0,-1"
z13vx3kbgmq5fnlgj04cfdoqtpfyw5xqzuc0k,rolle54100,2014-11-05T10:43:27,how can there be               views  when im the only person alive after  the zombie apocalypse   greetings  spoderman   ,0,0,"-1,-1,-1,-1,-1,-1,0,0,1"
z13pdjsgqkjjtnlqz04cgtxafxqtylmixxg0k,xMasterGGx,2014-11-05T15:25:34,            wiews    wow,0,0,"-1,-1,-1,-1,-1,-1,0,0,-1"
z12jc1uququpzbsoq04cg15poyfsxpvoojw,pro stomper,2014-11-05T15:27:34,guys please subscribe me to help my channel grow please guys,1,1,"-1,-1,-1,-1,-1,-1,-1,-1,1"
z124i3ygclj0xn4ly22jzb5a2ubvtbev1,Abdinasir Omar,2014-11-05T15:28:28,great music anyway,0,0,"-1,-1,-1,-1,-1,-1,0,0,-1"
z12kuncrps35wp1l0220s3t4ym32dtpin04,Aleksaivan Neidert,2014-11-05T15:35:49,psy   gangnam style    m v  http   youtu be  bzkp q  f ,0,0,"-1,-1,-1,-1,-1,1,-1,0,0"
z123gnabnwbqtr1e022jejij0zzzez2os04,Luat ha hpuoc,2014-11-05T15:38:10,so crazy  over   billion views  not us  not uk  its korea republic  its  asia,0,0,"-1,-1,-1,-1,-1,-1,0,-1,0"
z121jvbjakmbehsys04ce5yj1y3hxx0hzsk0k,abdellah chafouai,2014-11-05T16:12:51,discover song http   www linkbucks com acn g,1,0,"0,-1,-1,-1,-1,1,-1,0,-1"
