comment_id,author,date,old_text,expected_label,cid,text,model_pred,vectors,signal_strength
z13vdlhzymiuvvd2h224yxwomxrhczqdw,Beryllium,2014-09-27T21:21:50,Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in me…but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!﻿,1,521,hi everyone  my dream is to have passionate sex with katy perry  some people do not believe in mebut maybe you will  sex is a giant part of my life and it pushes me to be a better person  please give me a chance by giving me a thumbs up  if you love my ambition please subscribe ,0,"-1,-1,0,-1,-1,-1,0,1,-1,1",4
z13vsfqirtavjvu0t22ezrgzyorwxhpf3,Ajkal Khan,,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿",1,1145,my sister just received over       new  a rel  nofollow  class  ot hashtag  href  https   plus google com s    active   active  a  youtube views right now  the only thing she used was pimpmyviews  com,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
LneaDw26bFtE0-kLDaaiizhZVUyP1tE0FLTPo6TPFPY,Amir bassem,,subscribe me if u love eminem,1,1438,subscribe me if u love eminem,0,"-1,-1,0,-1,-1,-1,0,-1,-1,1",3
z12ghvgo3xjyjvouf23tstj5bna5jei0,Ragnarok,2014-08-19T19:53:09.770000,Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1,1109,abomination  subscribe if you agree    party here in my channel  cool lights ,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
z12vyf0jry25cbtif04cilsxal2quhowmw00k,katy perry,2014-10-24T14:12:49,Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,601,hey katycats  we are releasing a movie at midnight uk time to celebrate  katy s   th birthday  be sure to subscribe to our channel and watch the  movie ,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
z13ahnbavmbgi50bv04cenuj1yyifhxq3hw,LuckyMusiqLive,2014-10-09T23:22:50,this song is so addicting. the hook is dope and catchy. love the video too.  I'm getting popular fast because i rap real.. thumbs up if you piss next to  the water in the toilet so its quiet................................﻿,1,545,this song is so addicting  the hook is dope and catchy  love the video too   i m getting popular fast because i rap real   thumbs up if you piss next to  the water in the toilet so its quiet                                ,0,"1,-1,0,-1,-1,-1,-1,1,-1,-1",3
_2viQ_Qnc6_pJLNSe-ysm1Q4pDNKWrl6EWw0cSIBV14,Ali Reza Nipu,2013-11-05T06:23:41.092000,"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",1,1756,i really love watching football and also ive started off making income with out financial risk from acquiring bonus deals  its this weird technique where you wager on something with one bookmakers and bet against it on betfair  you secure the bonus as income   a chap named jim vanstone is finding the wagers free on his own website vanstone secrets  google it    ive made about     quid thus far  and it is cost free  i guess the bookies pay him to obtain new consumers  yet this actually works ,0,"-1,-1,0,-1,-1,-1,0,1,-1,-1",3
_2viQ_Qnc69fyi7qH4TDPB7CSJnioSrJi3CoQXBbjCo,Mayla Stephens,2013-10-18T20:28:32.779000,I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1,1772,i love this      this is one of my fave songs now and i just subscribed         ,0,"1,-1,0,-1,-1,-1,0,-1,-1,-1",3
z12gj5gi4leawfcni225jty5wzvecj53m,Jet Lee,2015-04-23T08:08:38.925000,There are beautiful songs please subscribe﻿,1,1754,there are beautiful songs please subscribe,0,"1,-1,-1,-1,-1,-1,0,-1,-1,1",3
z13xtdlovm2hzl05d04ccz1pnvqtezdriqc0k,Uroš Slemenjak,2014-11-07T12:08:13,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1,193,people  here is a new network like fb   you register also free  the  difference is only that you get paid for sharing  commenting and liking  posts and so one   don t waste your time on fb for sharing and not being  paid   register here to make also money with your everyday posts    https   www tsu co slema   wellcome to everyone    ,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
z13xstfb3srrybsb404ccl5w4u3gin4pliw,Martin Gébele MUSIC,,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",1,1167,i shared my first song  quot i want you quot   and i hope you     ll like it  take a listen   a href  https   youtu be  yfuy gkr c  https   youtu be  yfuy gkr c  a ,0,"1,-1,-1,-1,-1,1,-1,1,-1,-1",3
z13yeb25wmevhpg3s22chjtxoszvgxxxl04,funtimekid1199,2014-11-07T14:11:41,http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,1,201,http   www twitch tv tareko    follow him on twitch and enter the keyword        and you ll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
z125cdgp4qvxtpcj204cgbjjllbsj3zxdfo,Tiffany Isaiz,2014-10-02T22:53:52,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,1,529,our beautiful bella has been diagnosed with wobbler s syndrome  there is no  way we could afford to do her mri or surgery  she is not just a dog she is  a very special member of our family  without the surgery we fear we will  lose her  please help   http   www gofundme com f ekgw,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
z13ghzwpmz30ilzzw04cit0gup2kwtajq5o,Yonate,2014-10-28T17:22:33,Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,1,617,sign up for free on tsu and start making money on social media add follow  me and ill add follow you   http   tsu co roberts    ,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
z13asbvq1n2ttvptn23vd1mpsmnju5n0o,GALAXIAN HD,2015-04-26T17:36:25.815000,i am from Brazil please subscribe my channel love you all﻿,1,1749,i am from brazil please subscribe my channel love you all,0,"-1,-1,0,-1,-1,-1,0,-1,-1,1",3
z12fxf2xaofxhvj1b220dn1qhnyotpybx04,Bob McBobbers,2014-10-17T03:05:04,"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",1,570,hey guys  i was working last night on this project  it s a music streamer  like spotify  but it allows you to download the files to listen to when  you re offline  opening it as a free beta  feel free to try it out    download  https   mega co nz   ehvjzkya  bgkg iwphzohwaeuesrwnegqg labco rw wfx hao,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
z13ri55z2su3xp2v123ie1ywjn31zj0sl,RezAIIDay,2015-05-11T19:01:00.573000,"If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You﻿",1,1738,if you could take time  amp  spare a min to read this  then thank you  br    br   im a rapper  if we     re gonna be honest theres thousands maybe even millions br    br   of those in the world but not too many with ambition  dedication  amp  passion  br    br   i don     t have money for huge youtube advertisements or incredible music videos br    br   so all im left with is comments to expose my music  br    br   if you could take a moment and give me a chance ill make you a believer br    br   i would love  nothing more than a loyal following on youtube  for anyone who br    br   reads this could you press the  quot thumbs up quot  others will see it  br    br   doing so will help me push closer to my dream    thank you,0,"-1,-1,0,-1,-1,-1,0,1,-1,-1",3
z12jj5kyfrjjhbq4e04cenuj1yyifhxq3hw,LuckyMusiqLive,2014-09-25T22:54:00,katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,1,518,katy is beautiful  and this song is catchy  i m a rapper with        subscribers   thumbs up if you hate when you take a shit and the water  splashes your balls,0,"1,-1,-1,-1,-1,-1,0,1,-1,-1",3
z13vendrur3zxdgkd22azzlzftn1vj3pp04,Evin Alshamas,2014-08-12T05:20:24,Subscribe me please﻿,1,369,subscribe me please,0,"-1,-1,-1,-1,-1,-1,-1,1,0,1",3
LneaDw26bFvgKZJfckgl7OJXXu6v0YtHfhlRTURbhdY,Ractive,,"hey guys if you guys can please SUBSCRIBE to my channel ,i&#39;m a young rapper really dedicated i post a video everyday ,i post a verse (16 bars)(part of a song)everyday to improve i&#39;m doing this for 365 days ,right now i&#39;m on day 41  i&#39;m doing it for a whole year without missing one day if you guys can please SUBSCRIBE and follow me on my journey to my dream watch me improve, it really means a lot to me  thank you (:, i won&#39;t let you down i promise(: i&#39;m lyrical i keep it real!",1,1456,hey guys if you guys can please subscribe to my channel  i     m a young rapper really dedicated i post a video everyday  i post a verse     bars  part of a song everyday to improve i     m doing this for     days  right now i     m on day     i     m doing it for a whole year without missing one day if you guys can please subscribe and follow me on my journey to my dream watch me improve  it really means a lot to me  thank you     i won     t let you down i promise   i     m lyrical i keep it real ,0,"1,-1,-1,-1,-1,-1,-1,1,-1,1",3
z13zexz55xnnfbqnz224v1c5gziuczqno,Ach raf,2014-08-29T02:10:56,even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ﻿,1,394,even without make up she is still  hot     http   uk eonline com eol images entire site         reg      katy mkup mh        jpg ,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
LneaDw26bFtxWo398a4IB63xJxVOTtPd1Xqz0vPfw9s,Ractive,,"hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve  i write/perform/record/mix/edit/post everyday  i do a verse everyday (16 bars)to improve i&#39;m doing it for 365 days a whole year to improve right now i&#39;m on day 46  if you guys can please like this comment so everyone can see it and follow me on my journey/watch me improve everyday SUBSCRIBE PLEASE I&#39;m lyrical and i keep it real  help me reach my dream,help me build a fan base,THANKS(:",1,1431,hey guy if you can please subscribe to my channel im a young dedicated rapper i post videos everyday to improve  i write perform record mix edit post everyday  i do a verse everyday     bars to improve i     m doing it for     days a whole year to improve right now i     m on day     if you guys can please like this comment so everyone can see it and follow me on my journey watch me improve everyday subscribe please i     m lyrical and i keep it real  help me reach my dream help me build a fan base thanks  ,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
z120s1agtmmetler404cifqbxzvdx15idtw0k,Sheila Cenabre,2014-08-19T12:33:11,I really love this video.. http://www.bubblews.com/account/389088-sheilcen﻿,1,377,i really love this video   http   www bubblews com account        sheilcen,0,"-1,-1,0,-1,-1,1,0,-1,-1,-1",3
z135drnwswvsgvkyq04cfjh4xpb3cn2hugg,Sam Klein,2014-08-31T03:52:29,"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿",0,399,she named the tiger kitty purry  no  seriously  she did  check the video ,1,"-1,1,-1,-1,-1,-1,1,1,-1,-1",3
z12ddjvqypyusrssu22ewddagoagu1k2v,WeMuckAround,2014-08-16T20:59:28,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1,374,katy perry will u sit on my face please  it would be really awesome and  i ll give you   dollars  ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k ,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
LneaDw26bFuM4VU33XXogBzYQDxO-q19BsZLZRAklss,Ractive,,"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i&#39;m on day 60 today i work so hard now i&#39;m doing 2 verses everyday to improve i&#39;m going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i&#39;m lyrical and i keep it real i won&#39;t leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see",1,1398,i been working so hard for the past    days to improve i been writing recording mixing performing    bars everyday im doing it for a whole year     days  today i     m on day    today i work so hard now i     m doing   verses everyday to improve i     m going all the way to     please subscribe to my channel  help me build a fan base  watch me improve help me get closer to my dream i     m lyrical and i keep it real i won     t leave you down i promise   please subscribe please like this  commment so people can see,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
z122xxgxipvdzpovt22xjlyi5o3pebufp,Emilie,2014-08-09T20:12:26,Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments﻿,1,365,hey guys  my mom said if i got     subs before christmas i ll get a kitten  and i always have wanted an kitten so please watch my videos and if you  like it subscribe or like    please no mean comments,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
z12yhleh5k2lcxtr304chn2gatiwur3xhz40k,Lizle Productions,2015-05-16T11:33:22.322000,Top three Shakira songs (my choice) <br /><br />1- Waka Waka (it&#39;s time for Africa)<br /><br />2- Can&#39;t remember to forget you <br /><br />3- Empire<br /><br />Like this comment if u like Shakira ﻿,1,1734,top three shakira songs  my choice   br    br      waka waka  it     s time for africa  br    br      can     t remember to forget you  br    br      empire br    br   like this comment if u like shakira ,0,"1,-1,-1,1,-1,-1,-1,1,-1,-1",3
z12pgdhovmrktzm3i23es5d5junftft3f,lekanaVEVO1,2014-07-22T15:27:50,i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,1,354,i love this so much  and also i generate free leads on auto pilot  amp  you can  too  http   www myleadergate com moretraffic,0,"-1,-1,0,-1,-1,1,0,-1,-1,-1",3
LneaDw26bFs2eQd05L_J9wVmiBlCClqLnM0JUQsB-3Q,YungDreams,,Maybe no one will probably read this. But just in case you do Can You Put A &quot;Thumbs Up &quot;So Others Can See. I Just started rapping seriously (Type in Lunden- 1990 Video) just a simple button? can help my dreams come true. people will ignore this but if you don&#39;t can you listen and subscribe Thank you all God Bless.,1,1548,maybe no one will probably read this  but just in case you do can you put a  quot thumbs up  quot so others can see  i just started rapping seriously  type in lunden       video  just a simple button  can help my dreams come true  people will ignore this but if you don     t can you listen and subscribe thank you all god bless ,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
z131idupvn3yhf3mv23dwzhi4pqixvwuw,Александр Федоров,2014-11-13T07:59:33,"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",1,337,look at the pictures  if not difficult http   image you ru                       http   image you ru                         http   image you ru                http   image you ru                            http   image you ru                      http   image you ru                 http   image you ru                           http   image you ru                         http   image you ru                http   image you ru                             http   image you ru                           http   image you ru                http   image you ru                       http   image you ru                            http   image you ru                http   image you ru                       http   image you ru                          http   image you ru                http   image you ru                            http   image you ru               ,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
LneaDw26bFuP3B-am8XnZ--Od7F-JAwYOX4wwSK6Z64,volleyballspikerable,,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",1,1231,finally someone shares the same opinion as me  i     ve tried really hard to like gangnam style but i just can     t  i don     t even get the dance either  a song like this should be more popular than gangnam style  at least it makes sense ,0,"1,-1,-1,-1,-1,-1,0,1,-1,-1",3
z13isvpjcwadtnxfa23sdd0ipp20wzxdd,rtfamily,2015-05-23T16:45:03.492000,"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1,1667,definitley the song for      when im not listening to gypsy shakira rocks br    span class  proflinkwrapper   span class  proflinkprefix     span  a class  proflink  href  https   plus google com                        oid                         shakiravevo  a   span ,0,"1,-1,-1,1,-1,1,-1,-1,-1,-1",3
z12cehoxozfgg3nok04cjj05xznbgrlpfjo,Elieo Cardiopulmonary,2014-11-08T15:29:52,im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,1,305,im sorry for the spam but my name is jenny  i go to high school where  everyone dresses fashionable but for me i don t because i need money to buy  cute clothes  i have low self esteem   i live with my dad  my mom passed  away when i was   so i don t really have a mother figure  i have   brothers  who is older than me  since they are boys they get the attention while i  just be alone  i really want to wear pretty clothes like the girls in my  school and get a boyfriend  i just can t be my self  im very quite and shy  at school because i don t have the confidence in myself to talk to someone   i did have one friend name caroline but she moved away so now im alone  if  you could donate some money to me it would be great  i don t care about  expensive brand ill just shop at walmart because they have pretty clothes   also i wanna get my nails done at a salon   i see alot of girls have these  french tips  i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too  http   www gofundme com dressprettyonce thanks omg please ,0,"-1,-1,-1,-1,-1,1,0,1,-1,-1",3
z131uprw3qv4w5iou04cjbbgtvjedpoonvs0k,Ruchira Naidu,2015-05-20T14:34:27.224000,"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1,1717,help shakira     s waka waka be the first song by a female artist to reach   billion views  br    dark horse is ahead by roughly     million more views  and roar has only    million more views  br    a href  https   www youtube com watch v prpeedmmmq   https   www youtube com watch v prpeedmmmq   a ,0,"1,-1,-1,1,-1,1,-1,-1,-1,-1",3
z12kj5iz2obvunpm222oynsjrnmvjhkvj,LuckyMusiqLive,2014-10-30T17:58:18,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1,629,this song gives me strength  love her lyrics  this video really brings the  lyrics to life  i m getting known fast because i rap with meaning   thumbs  up if you piss next to the water in the toilet so its quiet   ,0,"1,-1,0,-1,-1,-1,-1,1,-1,-1",3
z13chfswltzzyhys1234dvkb3r2ien0ld,DirtySouthFlorida3,2014-11-06T22:00:58,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1,175,subscribe to me i subscribe back     plus i have a nice ass lol,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
_2viQ_Qnc69datZTHIa2E_Ejo2gIk6WmZJJUiCSMLTw,DynamicDesignStudios,2013-08-15T19:58:19.748000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1,1898,hello everyone    i know most of you probably pass up these kind of comments  but for those who are still reading this  thanks  i dont have any money for advertisements  no chance of getting heard  nothing    if this comes off as spam  sorry  i am a video animator  just trying to make it up into the video animation industry  please give me the chance to prove myself to you  please visit my channel  subscribe if you like and thumb this comment up  so everyone can see  thank you  ,0,"-1,-1,-1,-1,-1,-1,0,1,-1,1",3
