ProviderNumber,HospitalName,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
150166,PINNACLE HOSPITAL,CROWN POINT,IN,46307.0,LAKE,2197562100.0,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),IN_SCIP-INF-3
240056,RIDGEVIEW MEDICAL CENTER,WACONIA,MN,55387.0,CARVER,9524422191.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,MN_AMI-2
180043,MEMORIAL HOSPITAL,MANCHESTER,KY,40962.0,CLAY,6065985104.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,KY_PN-3B
41327,MADISON HOSPITAL,MADISON,MN,56256.0,LAC QUI PARLE,3205987556.0,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),MN_HF-3
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1
110089,COFFEE REGIONAL MEDICAL CENTER,DOUGLAS,GA,31533.0,COFFEE,2293841900.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,GA_PN-7
270004,BILLINGS CLINIC HOSPITAL,BILLINGS,MT,59101.0,YELLOWSTONE,4066574000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,MT_HF-1
100230,MEMORIAL HOSPITAL PEMBROKE,PEMBROKE PINES,FL,33024.0,BROWARD,9549629650.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,FL_AMI-8A
260183,ST FRANCIS MEDICAL CENTER,CAPE GIRARDEAU,MO,63703.0,CAPE GIRARDEAU,5733313000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,MO_PN-5C
60013,MERCY REGIONAL MEDICAL CENTER,DURANGO,CO,81301.0,LA PLATA,9702474311.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,CO_PN-7
191326,TRI-WARD GENERAL HOSPITAL,BERNICE,LA,71222.0,UNION,3182859066.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,LA_AMI-1
241306,RENVILLE COUNTY HOSPITAL AND CLINICS,OLIVIA,MN,56277.0,RENVILLE,3205231261.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,MN_AMI-7A
171372,SCOTT COUNTY HOSPITAL,SCOTT CITY,KS,67871.0,SCOTT,6208725811.0,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,KS_PN-4
141347,CARLINVILLE AREA HOSPITAL,CARLINVILLE,IL,62626.0,MACOUPIN,2178543141.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,IL_HF-2
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,ROLLA,MO,65401.0,PHELPS,5734588899.0,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,MO_AMI-2
111330,POLK MEDICAL CENTER,CEDARTOWN,GA,30125.0,POLK,7707482500.0,Critical Access Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),GA_SCIP-INF-3
50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,LOS ANGELES,CA,90015.0,LOS ANGELES,2137482411.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,CA_PN-5C
271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,CROW AGENCY,MT,59022.0,BIG HORN,4066382626.0,Critical Access Hospitals,Government - Federal,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,MT_AMI-8A
171302,OSWEGO COMMUNITY HOSPITAL,OSWEGO,KS,67356.0,LABETTE,6207952921.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,KS_PN-7
30061,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,85351.0,MARICOPA,6239777211.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AZ_AMI-2
210049,UPPER CHESAPEAKE MEDICAL CENTER,BEL AIR,MD,21014.0,HARFORD,4436431000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,MD_HF-4
220082,SAINTS  MEDICAL CENTER INC,LOWELL,MA,1852.0,MIDDLESEX,9784581411.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),MA_SCIP-INF-3
201310,BRIDGTON HOSPITAL,BRIDGTON,ME,4009.0,CUMBERLAND,2076476000.0,Critical Access Hospitals,Voluntary non-profit - Private,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,ME_SCIP-VTE-1
141301,JOHN & MARY KIRBY HOSPITAL,MONTICELLO,IL,61856.0,PIATT,2177622115.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,IL_PN-4
161313,GENESIS MEDICAL CENTER-DEWITT,DEWITT,IA,52742.0,CLINTON,5636594200.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,IA_AMI-4
201300,BLUE HILL MEMORIAL HOSPITAL,BLUE HILL,ME,4614.0,HANCOCK,2073742836.0,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,ME_PN-5C
280003,BRYANLGH MEDICAL CENTER,LINCOLN,NE,68506.0,LANCASTER,4024890200.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,NE_SCIP-VTE-2
60023,ST MARY'S HOSPITAL AND MEDICAL CENTER,GRAND JUNCTION,CO,81502.0,MESA,9702442273.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,CO_AMI-4
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,DOWNERS GROVE,IL,60515.0,DUPAGE,6302755900.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,IL_PN-3B
190045,ST TAMMANY PARISH HOSPITAL,COVINGTON,LA,70433.0,SAINT TAMMANY,9858984000.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),LA_AMI-3
60014,PRESBYTERIAN/ST LUKE'S MEDICAL CENTER,DENVER,CO,80218.0,DENVER,3038396100.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,CO_SCIP-VTE-1
230097,MUNSON MEDICAL CENTER,TRAVERSE CITY,MI,49684.0,GRAND TRAVERSE,2319355000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),MI_SCIP-INF-3
161368,FLOYD VALLEY HOSPITAL,LE MARS,IA,51031.0,PLYMOUTH,7125467871.0,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),IA_SCIP-INF-3
260078,OZARKS MEDICAL CENTER,OMAHA,MO,65775.0,HOWELL,4172569111.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),MO_HF-3
50397,COALINGA REGIONAL MEDICAL CENTER,COALINGA,CA,93210.0,FRESNO,5599356400.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,CA_HF-4
60096,VAIL VALLEY MEDICAL CENTER,VAIL,CO,81657.0,EAGLE,9704762451.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,CO_AMI-2
171328,OTTAWA COUNTY HEALTH CENTER,MINNEAPOLIS,KS,67467.0,OTTAWA,8082451103.0,Critical Access Hospitals,Government - Local,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),KS_HF-3
250077,WAYNE GENERAL HOSPITAL,WAYNESBORO,MS,39367.0,WAYNE,6017355151.0,Acute Care Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,MS_SCIP-INF-4
171341,HIAWATHA COMMUNITY HOSPITAL,HIAWATHA,KS,66434.0,BROWN,7857422131.0,Critical Access Hospitals,Voluntary non-profit - Private,No,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,KS_HF-2
141325,KEWANEE HOSPITAL,KEWANEE,IL,61443.0,HENRY,3098533361.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),IL_AMI-3
100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,FL,34119.0,COLLIER,2393484000.0,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),FL_SCIP-INF-6
260034,BATES COUNTY MEMORIAL HOSPITAL,BUTLER,MO,64730.0,BATES,6602007000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,MO_HF-4
200031,CARY MEDICAL CENTER,CARIBOU,ME,4736.0,AROOSTOOK,2074983111.0,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),ME_HF-3
40022,NW ARKANSAS HOSPITALS; LLC,SPRINGDALE,AR,72764.0,WASHINGTON,4797515711.0,Acute Care Hospitals,Proprietary,No,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AR_PN-7
110168,REDMOND REGIONAL MEDICAL CENTER,ROME,GA,30165.0,FLOYD,7068023012.0,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,GA_SCIP-VTE-2
210024,UNION MEMORIAL HOSPITAL,BALTIMORE,MD,21218.0,BALTIMORE CITY,4105542000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),MD_HF-3
140019,SHELBY MEMORIAL HOSPITAL,SHELBYVILLE,IL,62565.0,SHELBY,2177743961.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),IL_AMI-3
23009F,RAULERSON HOSPITAL,OKEECHOBEE,FL,34972.0,OKEECHOBEE,8637632151.0,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,FL_SCIP-INF-4
161307,HANCOCK COUNTY MEMORIAL HOSPITAL,BRITT,IA,50423.0,HANCOCK,6418435000.0,Critical Access Hospitals,Voluntary non-profit - Other,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,IA_SCIP-VTE-2
171354,COMMUNITY HOSPITAL; ONAGA AND ST MARYS CAMPUS,ONAGA,KS,66521.0,POTTAWATOMIE,7858894272.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,KS_SCIP-INF-2
50239,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE,CA,91206.0,LOS ANGELES,8184098202.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,CA_PN-3B
220015,COOLEY DICKINSON HOSPITAL INC;THE,NORTHAMPTON,MA,1060.0,HAMPSHIRE,7344213300.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,MA_SCIP-VTE-2
110008,NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30114.0,CHEROKEE,7707205298.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),GA_PN-6
231311,DECKERVILLE COMMUNITY HOSPITAL,DECKERVILLE,MI,48427.0,SANILAC,8103762835.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,MI_HF-4
51325,MENDOCINO COAST DISTRICT HOSPITAL,FORT BRAGG,CA,95437.0,MENDOCINO,7079614697.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),CA_AMI-3
190002,LAFAYETTE GENERAL MEDICAL CENTER,LAFAYETTE,LA,70503.0,LAFAYETTE,3372897991.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,LA_AMI-7A
170191,GREAT BEND REGIONAL HOSPITAL,GREAT BEND,KS,67530.0,BARTON,6207928833.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,KS_PN-7
240069,OWATONNA HOSPITAL,OWATONNA,MN,55060.0,STEELE,5074513850.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,CAC-1,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,MN_PN-5C
190006,UNIVERSITY MEDICAL CENTER,LAFAYETTE,LA,70506.0,LAFAYETTE,3372616001.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,LA_SCIP-VTE-2
230141,MCLAREN REGIONAL MEDICAL CENTER,FLINT,MI,48532.0,GENESEE,8103422000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,MI_AMI-4
60032,ROSE MEDICAL CENTER,DENVER,CO,80220.0,DENVER,3033202121.0,Acute Care Hospitals,Proprietary,Yes,Children&#8217;s Asthma Care,CAC-1,Children Who Received Reliever Medication While Hospitalized for Asthma,CO_CAC-1
260210,ST ALEXIUS HOSPITAL,SAINT LOUIS,MO,63118.0,SAINT LOUIS CITY,3148657000.0,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,MO_SCIP-CARD-2
161309,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,MISSOURI VALLEY,IA,51555.0,HARRISON,7126422784.0,Critical Access Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,IA_PN-4
50373,LAC+USC MEDICAL CENTER,LOS ANGELES,CA,90033.0,ORANGE,3232262800.0,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,CA_PN-4
260065,ST JOHN'S REGIONAL HEALTH CENTER,SPRINGFIELD,MO,65804.0,GREENE,4178202000.0,Acute Care Hospitals,Voluntary non-profit - Church,No,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,MO_AMI-5
220171,LAHEY CLINIC HOSPITAL,BURLINGTON,MA,1803.0,MIDDLESEX,7817445100.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,MA_AMI-8A
140124,JOHN H STROGER JR HOSPITAL,CHICAGO,IL,60612.0,COOK,3128646000.0,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,IL_AMI-4
40042,CRITTENDEN MEMORIAL HOSPITAL,WEST MEMPHIS,AR,72301.0,CRITTENDEN,8707351500.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AR_PN-5C
181324,THE MEDICAL CENTER AT SCOTTSVILLE,SCOTTSVILLE,KY,42164.0,ALLEN,2706222800.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,KY_PN-4
19043F,ALEXANDRIA VA MEDICAL CENTER,PINEVILLE,LA,71360.0,RAPIDES,3184730010.0,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,LA_AMI-2
260065,ST JOHN'S REGIONAL HEALTH CENTER,SPRINGFIELD,MO,65804.0,GREENE,4178202000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,MO_PN-5C
190256,DOCTORS' HOSPITAL OF SLIDELL,SLIDELL,LA,70458.0,SAINT TAMMANY,5046908200.0,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),LA_HF-3
50091,COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK,HUNTINGTON PARK,CA,90255.0,LOS ANGELES,3235831931.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,CA_SCIP-INF-1
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,33134.0,MIAMI-DADE,3054458461.0,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),FL_SCIP-INF-6
61327,SOUTHWEST MEMORIAL HOSPITAL,CORTEZ,CO,81321.0,MONTEZUMA,9705656666.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,CO_HF-2
151323,PARKVIEW LAGRANGE HOSPITAL,LAGRANGE,IN,46761.0,LAGRANGE,2604639000.0,Critical Access Hospitals,Government - Federal,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,IN_AMI-2
20008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801.0,JUNEAU,9077968900.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AK_AMI-5
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,COLORADO SPRINGS,CO,80907.0,EL PASO,7197765000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,CO_PN-7
50760,KAISER FOUNDATION HOSPITAL - ANTIOCH,ANTIOCH,CA,94531.0,CONTRA COSTA,9258136500.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,CA_PN-4
