City,ZipCode,State,PhoneNumber,MeasureCode,MeasureName,Stateavg,ProviderNumber,HospitalName,Condition
DOTHAN,36302,AL,3347938701,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
DOTHAN,36302,AL,3347938701,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Failure
DOTHAN,36302,AL,3347938701,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Failure
DOTHAN,36302,AL,3347938701,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Failure
DOTHAN,36302,AL,3347938701,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Failure
DOTHAN,36302,AL,3347938701,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Pneumonia
DOTHAN,36302,AL,3347938701,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Pneumonia
DOTHAN,36302,AL,3347938701,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Pneumonia
DOTHAN,36302,AL,3347938701,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Pneumonia
DOTHAN,36302,AL,3347938701,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Pneumonia
DOTHAN,36302,AL,3347938701,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Pneumonia
DOTHAN,36302,AL,3347938701,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
DOTHAN,36302,AL,3347938701,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Attack
BOAZ,35957,AL,2565938310,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Failure
BOAZ,35957,AL,2565938310,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Failure
BOAZ,35957,AL,2565938310,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Failure
BOAZ,35957,AL,2565938310,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10005,MARSHALL MEDICAL CENTER SOUTH,Heart Failure
BOAZ,35957,AL,2565938310,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10005,MARSHALL MEDICAL CENTER SOUTH,Pneumonia
BOAZ,35957,AL,2565938310,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10005,MARSHALL MEDICAL CENTER SOUTH,Pneumonia
BOAZ,35957,AL,2565938310,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10005,MARSHALL MEDICAL CENTER SOUTH,Pneumonia
BOAZ,35957,AL,2565938310,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10005,MARSHALL MEDICAL CENTER SOUTH,Pneumonia
BOAZ,35957,AL,2565938310,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10005,MARSHALL MEDICAL CENTER SOUTH,Pneumonia
BOAZ,35957,AL,2565938310,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10005,MARSHALL MEDICAL CENTER SOUTH,Pneumonia
BOAZ,35957,AL,2565938310,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
BOAZ,35957,AL,2565938310,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10005,MARSHALL MEDICAL CENTER SOUTH,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Attack
FLORENCE,35631,AL,2567688400,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Failure
FLORENCE,35631,AL,2567688400,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Failure
FLORENCE,35631,AL,2567688400,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Failure
FLORENCE,35631,AL,2567688400,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Heart Failure
FLORENCE,35631,AL,2567688400,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Pneumonia
FLORENCE,35631,AL,2567688400,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Pneumonia
FLORENCE,35631,AL,2567688400,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Pneumonia
FLORENCE,35631,AL,2567688400,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Pneumonia
FLORENCE,35631,AL,2567688400,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Pneumonia
FLORENCE,35631,AL,2567688400,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Pneumonia
FLORENCE,35631,AL,2567688400,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
FLORENCE,35631,AL,2567688400,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10006,ELIZA COFFEE MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10007,MIZELL MEMORIAL HOSPITAL,Heart Attack
OPP,36467,AL,3344933541,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10007,MIZELL MEMORIAL HOSPITAL,Heart Failure
OPP,36467,AL,3344933541,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10007,MIZELL MEMORIAL HOSPITAL,Heart Failure
OPP,36467,AL,3344933541,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10007,MIZELL MEMORIAL HOSPITAL,Heart Failure
OPP,36467,AL,3344933541,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10007,MIZELL MEMORIAL HOSPITAL,Heart Failure
OPP,36467,AL,3344933541,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10007,MIZELL MEMORIAL HOSPITAL,Pneumonia
OPP,36467,AL,3344933541,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10007,MIZELL MEMORIAL HOSPITAL,Pneumonia
OPP,36467,AL,3344933541,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10007,MIZELL MEMORIAL HOSPITAL,Pneumonia
OPP,36467,AL,3344933541,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10007,MIZELL MEMORIAL HOSPITAL,Pneumonia
OPP,36467,AL,3344933541,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10007,MIZELL MEMORIAL HOSPITAL,Pneumonia
OPP,36467,AL,3344933541,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10007,MIZELL MEMORIAL HOSPITAL,Pneumonia
OPP,36467,AL,3344933541,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
OPP,36467,AL,3344933541,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10007,MIZELL MEMORIAL HOSPITAL,Surgical Infection Prevention
LUVERNE,36049,AL,3343353374,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Attack
LUVERNE,36049,AL,3343353374,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Failure
LUVERNE,36049,AL,3343353374,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Failure
LUVERNE,36049,AL,3343353374,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Failure
LUVERNE,36049,AL,3343353374,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10008,CRENSHAW COMMUNITY HOSPITAL,Heart Failure
LUVERNE,36049,AL,3343353374,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10008,CRENSHAW COMMUNITY HOSPITAL,Pneumonia
LUVERNE,36049,AL,3343353374,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10008,CRENSHAW COMMUNITY HOSPITAL,Pneumonia
LUVERNE,36049,AL,3343353374,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10008,CRENSHAW COMMUNITY HOSPITAL,Pneumonia
